run_id,seed,method,n_features,accuracy,precision,recall,f1,roc_auc,training_time
22,64,l1,44,0.9359642247936932,0.9367738949317288,0.9988648702003751,0.9668235125516517,0.707257322359111,0.2943689823150635
22,64,rf_topk,10,0.9358259185837444,0.9366438356164384,0.9988648702003751,0.9667542393121566,0.677024764942445,0.03505110740661621
22,64,rf_median,23,0.9358720206537273,0.9366871847086592,0.9988648702003751,0.9667773292889728,0.6948292622074201,0.11729884147644043
23,65,baseline,46,0.9360103268636761,0.9370195424654997,0.9986181028526305,0.9668386850152905,0.7121178274885909,3.14003586769104
23,65,variance_threshold,43,0.936194735143608,0.937031206593203,0.9988155167308261,0.9669374104156713,0.7113419177286987,2.8875298500061035
23,65,chi2,10,0.9343045502743074,0.9342924332549454,1.0,0.9660301795036831,0.6544530644360141,0.04237103462219238
23,65,mutual_info,10,0.936102531003642,0.9369039903712619,0.9988648702003751,0.9668927957194726,0.6276906361513716,0.09155631065368652
23,65,rfe,10,0.9343045502743074,0.9343324878948582,0.9999506465304511,0.9660285598493337,0.6427211334181426,0.04026293754577637
23,65,rfecv,40,0.9359181227237103,0.93701370878103,0.9985193959135327,0.9667893152386868,0.7105725872801776,0.3022737503051758
23,65,l1,43,0.9360103268636761,0.9370195424654997,0.9986181028526305,0.9668386850152905,0.7120208474028712,0.2938699722290039
23,65,rf_topk,10,0.9360564289336591,0.9369010693949354,0.9988155167308261,0.9668681174306667,0.685800236634172,0.032729148864746094
23,65,rf_median,23,0.9361486330736251,0.9370687659180366,0.9987168097917284,0.9669111498674057,0.7026192359447432,0.09611296653747559
24,66,baseline,46,0.9352726937439491,0.936649069185885,0.9982232750962393,0.9664564220183486,0.7068163876175219,3.0513999462127686
24,66,variance_threshold,43,0.9350882854640173,0.9365160214854603,0.9981739216266904,0.9663624635672989,0.7010618904941488,2.6088078022003174
24,66,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6527918832917887,0.04099917411804199
24,66,mutual_info,10,0.9352265916739662,0.9364440124056844,0.9984206889744349,0.9664397468052072,0.6297350233287531,0.09186887741088867
24,66,rfe,10,0.9341201419943755,0.9342803117649772,0.9998025861218044,0.9659315770652044,0.6369295952898071,0.03933882713317871
24,66,rfecv,28,0.9352726937439491,0.93668951463505,0.9981739216266904,0.9664548191331772,0.6911141271180978,0.1558830738067627
24,66,l1,42,0.9352726937439491,0.936649069185885,0.9982232750962393,0.9664564220183486,0.706829684388534,0.27254199981689453
24,66,rf_topk,10,0.9351804896039833,0.9365219001759422,0.9982726285657881,0.9664118490205447,0.6728550875069135,0.0330049991607666
24,66,rf_median,23,0.9351343875340002,0.9365998240170426,0.9981245681571415,0.9663839445705411,0.6913285159650013,0.11885428428649902
25,67,baseline,46,0.9355493061638468,0.9366262383112675,0.9985687493830816,0.9666061532581693,0.700047536819795,2.825927972793579
25,67,variance_threshold,43,0.9356415103038126,0.93663210516571,0.9986674563221795,0.9666555199923565,0.6975213230128287,2.5460071563720703
25,67,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6449169483682582,0.04190707206726074
